Temp,Rep,Time (weeks),No. of individual survived,Mortality,Metamorphosis-GS 42 (values are number of individuals),Odema,Tail_kink
18,1,1,25,0,0,0,0
18,1,2,25,0,0,0,0
18,1,3,25,0,0,0,0
18,1,4,25,0,0,0,0
18,1,5,25,0,0,0,0
18,1,6,25,0,0,0,0
18,1,7,25,0,0,0,0
18,1,8,25,0,0,0,0
18,1,9,25,0,0,0,0
18,1,10,25,0,0,0,0
18,1,11,25,0,0,0,0
18,1,12,25,0,0,0,0
18,1,13,25,0,0,0,0
18,1,14,25,0,0,0,0
18,1,15,25,0,6,0,0
18,1,16,25,0,9,0,0
18,1,17,25,0,8,0,0
18,1,18,25,0,2,0,0
18,1,19,25,0,0,0,0
18,1,20,25,0,0,0,0
18,1,21,25,0,0,0,0
18,2,1,25,0,0,0,0
18,2,2,25,0,0,0,0
18,2,3,25,0,0,0,0
18,2,4,25,0,0,0,0
18,2,5,25,0,0,0,0
18,2,6,25,0,0,0,0
18,2,7,25,0,0,0,0
18,2,8,25,0,0,0,0
18,2,9,25,0,0,0,0
18,2,10,25,0,0,0,0
18,2,11,25,0,0,0,0
18,2,12,25,0,0,0,0
18,2,13,25,0,0,0,0
18,2,14,25,0,0,0,0
18,2,15,25,0,9,0,0
18,2,16,25,0,4,0,0
18,2,17,25,0,7,0,0
18,2,18,25,0,5,0,0
18,2,19,25,0,0,0,0
18,2,20,25,0,0,0,0
18,2,21,25,0,0,0,0
18,3,1,25,0,0,0,0
18,3,2,25,0,0,0,0
18,3,3,25,0,0,0,0
18,3,4,25,0,0,0,0
18,3,5,25,0,0,0,0
18,3,6,25,0,0,0,0
18,3,7,25,0,0,0,0
18,3,8,25,0,0,0,0
18,3,9,25,0,0,0,0
18,3,10,25,0,0,0,0
18,3,11,25,0,0,0,0
18,3,12,25,0,0,0,0
18,3,13,25,0,0,0,0
18,3,14,25,0,0,0,0
18,3,15,25,0,0,0,0
18,3,16,25,0,0,0,0
18,3,17,25,0,0,0,0
18,3,18,25,0,0,0,0
18,3,19,25,0,0,0,0
18,3,20,25,0,0,0,0
18,3,21,25,0,0,0,0
18,4,1,25,0,0,0,0
18,4,2,25,0,0,0,0
18,4,3,25,0,0,0,0
18,4,4,25,0,0,0,0
18,4,5,25,0,0,0,0
18,4,6,25,0,0,0,0
18,4,7,25,0,0,0,0
18,4,8,25,0,0,0,0
18,4,9,25,0,0,0,0
18,4,10,25,0,0,0,0
18,4,11,25,0,0,0,0
18,4,12,25,0,0,0,0
18,4,13,25,0,0,0,0
18,4,14,25,0,0,0,0
18,4,15,25,0,7,0,0
18,4,16,25,0,11,0,0
18,4,17,25,0,7,0,0
18,4,18,25,0,0,0,0
18,4,19,25,0,0,0,0
18,4,20,25,0,0,0,0
18,4,21,25,0,0,0,0
22,1,1,25,0,0,0,0
22,1,2,25,0,0,0,0
22,1,3,25,0,0,0,0
22,1,4,25,0,0,0,0
22,1,5,25,0,0,0,0
22,1,6,25,0,0,0,0
22,1,7,25,0,0,0,0
22,1,8,25,0,0,0,0
22,1,9,25,0,0,0,0
22,1,10,25,0,0,0,0
22,1,11,25,0,0,0,0
22,1,12,25,0,0,0,0
22,1,13,25,0,0,0,0
22,1,14,25,0,0,0,0
22,1,15,25,0,9,0,0
22,1,16,25,0,6,0,0
22,1,17,25,0,6,0,0
22,1,18,25,0,4,0,0
22,1,19,25,0,0,0,0
22,1,20,25,0,0,0,0
22,1,21,25,0,0,0,0
22,2,1,25,0,0,0,0
22,2,2,25,0,0,0,0
22,2,3,25,0,0,0,0
22,2,4,25,0,0,0,0
22,2,5,25,0,0,0,0
22,2,6,25,0,0,0,0
22,2,7,25,0,0,0,0
22,2,8,25,0,0,0,0
22,2,9,25,0,0,0,0
22,2,10,25,0,0,0,0
22,2,11,25,0,0,0,0
22,2,12,25,0,0,0,0
22,2,13,25,0,0,0,0
22,2,14,25,0,0,0,0
22,2,15,25,0,3,0,0
22,2,16,25,0,10,0,0
22,2,17,25,0,7,0,0
22,2,18,25,0,5,0,0
