hormone,March-April,May-June,July-August,September-October
estradiol,74.23,80.32786885,97.54098361,21.49
estradiol,53.28,76.2295082,88.52459016,22.87
estradiol,33.43,79.50819672,104.9180328,39.59
estradiol,62.98,90.16393443,108.7,17.23
estradiol,43.29,100.99,81.96721311,15.08
estradiol,66.12,142.6229508,77.86885246,12.11
estradiol,62.02,113.9344262,149.0491803,28.89
estradiol,79.67,128.3928571,152.34,34.56
estradiol,65.17,105.5357143,106.557377,24.55
estradiol,90.16,92.32142857,127.0491803,18.09
testosterone,520.34,1260.862935,1683.571429,145.33
testosterone,420.12,1027.12,1812.142857,135.77
testosterone,895.23,1145.33,1269.285714,367.23
testosterone,543.72,1454.44,1947.857143,150.23
testosterone,349.31,1256.78,1487.23,207.23
testosterone,500.89,1326.87,1347.857143,67.77
testosterone,523.67,1246.37,1662.142857,120.55
testosterone,457.78,1759.11,1683.571429,147.66
testosterone,445.77,1147.65,855,58.11
testosterone,778.22,942.44,1126.428571,102.23
