Rep,Temp,Weeks,Samples,Mortality,Metamorphosized,Edema,Tail.kink
1,18,1,25,0,0,0,0
1,18,2,25,0,0,0,0
1,18,3,25,0,0,0,0
1,18,4,25,0,0,0,0
1,18,5,25,0,0,0,0
1,18,6,25,0,0,0,0
1,18,7,25,0,0,0,0
1,18,8,25,0,0,0,0
1,18,9,25,0,0,0,0
1,18,10,25,0,0,0,0
1,18,11,25,0,0,0,0
1,18,12,25,0,0,0,0
1,18,13,25,0,0,0,0
1,18,14,25,0,0,0,0
1,18,15,25,0,0,0,0
1,18,16,25,0,0,0,0
1,18,17,25,0,2,0,0
1,18,18,25,0,6,0,0
1,18,19,25,0,5,0,0
1,18,20,25,0,1,0,0
1,18,21,25,0,3,0,0
1,18,22,25,0,1,0,0
1,18,23,25,0,2,0,0
1,18,24,25,0,5,0,0
2,18,1,25,0,0,0,0
2,18,2,25,0,0,0,0
2,18,3,25,0,0,0,0
2,18,4,25,0,0,0,0
2,18,5,25,0,0,0,0
2,18,6,25,0,0,0,0
2,18,7,25,0,0,0,0
2,18,8,25,0,0,0,0
2,18,9,25,0,0,0,0
2,18,10,25,0,0,0,0
2,18,11,25,0,0,0,0
2,18,12,25,0,0,0,0
2,18,13,25,0,0,0,0
2,18,14,25,0,0,0,0
2,18,15,25,0,0,0,0
2,18,16,25,0,0,0,0
2,18,17,25,0,2,0,0
2,18,18,25,0,4,0,0
2,18,19,25,0,2,0,0
2,18,20,25,0,3,0,0
2,18,21,25,0,4,0,0
2,18,22,25,0,2,0,0
2,18,23,24,1,1,0,0
2,18,24,24,0,6,0,0
3,18,1,25,0,0,0,0
3,18,2,25,0,0,0,0
3,18,3,25,0,0,0,0
3,18,4,25,0,0,0,0
3,18,5,25,0,0,0,0
3,18,6,25,0,0,0,0
3,18,7,23,2,0,0,0
3,18,8,23,0,0,0,0
3,18,9,23,0,0,0,0
3,18,10,23,0,0,0,0
3,18,11,23,0,0,0,0
3,18,12,23,0,0,0,0
3,18,13,23,0,0,0,0
3,18,14,23,0,0,0,0
3,18,15,23,0,0,0,0
3,18,16,23,0,0,0,0
3,18,17,23,0,0,0,0
3,18,18,23,0,3,0,0
3,18,19,23,0,3,0,0
3,18,20,23,0,2,0,0
3,18,21,23,0,1,0,0
3,18,22,23,0,1,0,0
3,18,23,23,0,5,0,0
3,18,24,23,0,8,0,0
4,18,1,25,0,0,0,0
4,18,2,25,0,0,0,0
4,18,3,25,0,0,0,0
4,18,4,25,0,0,0,0
4,18,5,25,0,0,0,0
4,18,6,25,0,0,0,0
4,18,7,25,0,0,0,0
4,18,8,25,0,0,0,0
4,18,9,25,0,0,0,0
4,18,10,25,0,0,0,0
4,18,11,25,0,0,0,0
4,18,12,25,0,0,0,0
4,18,13,25,0,0,0,0
4,18,14,25,0,0,0,0
4,18,15,25,0,0,0,0
4,18,16,25,0,0,0,0
4,18,17,25,0,3,0,0
4,18,18,25,0,3,0,0
4,18,19,25,0,2,0,0
4,18,20,25,0,2,0,0
4,18,21,25,0,0,0,0
4,18,22,25,0,5,0,0
4,18,23,25,0,1,0,0
4,18,24,25,0,9,0,0
1,20,1,25,0,0,0,0
1,20,2,25,0,0,0,0
1,20,3,25,0,0,0,0
1,20,4,25,0,0,0,0
1,20,5,25,0,0,0,0
1,20,6,25,0,0,0,0
1,20,7,25,0,0,0,0
1,20,8,25,0,0,0,0
1,20,9,25,0,0,0,0
1,20,10,25,0,0,0,0
1,20,11,25,0,0,0,0
1,20,12,25,0,0,0,0
1,20,13,25,0,0,0,0
1,20,14,25,0,0,0,0
1,20,15,24,1,0,0,0
1,20,16,24,0,1,0,0
1,20,17,24,0,7,0,0
1,20,18,24,0,2,0,0
1,20,19,24,0,3,0,0
1,20,20,24,0,0,0,0
1,20,21,24,0,1,0,0
1,20,22,24,0,3,0,0
1,20,23,24,0,1,0,0
1,20,24,24,0,6,0,0
2,20,1,25,0,0,0,0
2,20,2,25,0,0,0,0
2,20,3,25,0,0,0,0
2,20,4,25,0,0,0,0
2,20,5,25,0,0,0,0
2,20,6,25,0,0,0,0
2,20,7,25,0,0,0,0
2,20,8,25,0,0,0,0
2,20,9,25,0,0,0,0
2,20,10,25,0,0,0,0
2,20,11,25,0,0,0,0
2,20,12,25,0,0,0,0
2,20,13,25,0,0,0,0
2,20,14,25,0,0,0,0
2,20,15,25,0,0,0,0
2,20,16,25,0,3,0,0
2,20,17,25,0,6,0,0
2,20,18,25,0,1,0,0
2,20,19,25,0,6,0,0
2,20,20,25,0,3,0,0
2,20,21,25,0,2,0,0
2,20,22,25,0,0,0,0
2,20,23,25,0,2,0,0
2,20,24,24,0,2,0,0
3,20,1,25,0,0,0,0
3,20,2,25,0,0,0,0
3,20,3,25,0,0,0,0
3,20,4,25,0,0,0,0
3,20,5,25,0,0,0,0
3,20,6,25,0,0,0,0
3,20,7,25,0,0,0,0
3,20,8,25,0,0,0,0
3,20,9,25,0,0,0,0
3,20,10,25,0,0,0,0
3,20,11,25,0,0,0,0
3,20,12,25,0,0,0,0
3,20,13,25,0,0,0,0
3,20,14,25,0,0,0,0
3,20,15,25,0,0,0,0
3,20,16,25,0,1,0,0
3,20,17,25,0,6,0,0
3,20,18,25,0,3,0,0
3,20,19,25,0,7,0,0
3,20,20,24,1,5,0,0
3,20,21,24,0,0,0,0
3,20,22,24,0,0,0,0
3,20,23,24,0,1,0,0
3,20,24,23,1,0,0,0
4,20,1,25,0,0,0,0
4,20,2,25,0,0,0,0
4,20,3,25,0,0,0,0
4,20,4,25,0,0,0,0
4,20,5,25,0,0,0,0
4,20,6,25,0,0,0,0
4,20,7,25,0,0,0,0
4,20,8,25,0,0,0,0
4,20,9,25,0,0,0,0
4,20,10,25,0,0,0,0
4,20,11,25,0,0,0,0
4,20,12,25,0,0,0,0
4,20,13,25,0,0,0,0
4,20,14,25,0,0,0,0
4,20,15,25,0,0,0,0
4,20,16,25,0,0,0,0
4,20,17,25,0,11,0,0
4,20,18,25,0,1,0,0
4,20,19,24,1,6,0,0
4,20,20,24,0,1,0,0
4,20,21,24,0,0,0,0
4,20,22,24,0,0,0,0
4,20,23,24,0,1,0,0
4,20,24,24,0,4,0,0
1,22,1,24,1,0,0,0
1,22,2,24,0,0,0,0
1,22,3,24,0,0,0,0
1,22,4,24,0,0,0,0
1,22,5,24,0,0,0,0
1,22,6,24,0,0,0,0
1,22,7,24,0,0,0,0
1,22,8,24,0,0,0,0
1,22,9,24,0,0,0,0
1,22,10,24,0,0,0,0
1,22,11,24,0,0,0,0
1,22,12,24,0,0,0,0
1,22,13,24,0,0,0,0
1,22,14,24,0,0,0,0
1,22,15,24,0,0,0,0
1,22,16,24,0,3,0,0
1,22,17,24,0,4,0,0
1,22,18,24,0,0,0,0
1,22,19,24,0,6,0,0
1,22,20,24,0,1,0,0
1,22,21,24,0,4,0,0
1,22,22,24,0,1,0,0
1,22,23,24,0,3,0,0
1,22,24,24,0,0,0,0
2,22,1,24,1,0,0,0
2,22,2,24,0,0,0,0
2,22,3,24,0,0,0,0
2,22,4,24,0,0,0,0
2,22,5,24,0,0,0,0
2,22,6,24,0,0,0,0
